	iYLI649_ID	iYLI649_Name	iYali_ID	iYali_Name	iYli21_ID	iYli21_Name
0	13BGH	Endo 1 3 beta glucan glucohydrase	y000370	exo-1,3-beta-glucan glucohydrase	R294	exo-1,3-beta-glucan glucohydrase
1	13BGHe	Exo 1 3 beta glucan glucohydrase	y000370	exo-1,3-beta-glucan glucohydrase	R294	exo-1,3-beta-glucan glucohydrase
2	13GS	1 3 beta glucan synthase	y000005	1,3-beta-glucan synthase	R4	1,3-beta-glucan synthase
3	3DSPHR	3 Dehydrosphinganine reductase	y000041	3-dehydrosphinganine reductase	R37	3-dehydrosphinganine reductase
4	3HAO	3 hydroxyanthranilate 3 4 dioxygenase	y000058	3-hydroxyanthranilate 3,4-dioxygenase	R43	3-hydroxyanthranilate 3,4-dioxygenase
5	SBTD_D2	D sorbitol dehydrogenase D fructose producing	y000323	D-sorbitol dehydrogenase (D-fructose producing)	R257	D-sorbitol dehydrogenase (D-fructose producing)
6	4HTHRS	4 Hydroxy L threonine synthase	y000069	4-hydroxy-L-threonine synthase	R51	4-hydroxy-L-threonine synthase
7	AASAD1	L aminoadipate semialdehyde dehydrogenase NADPH	y000678	L-aminoadipate-semialdehyde dehydrogenase (NADPH)	R505	L-aminoadipate-semialdehyde dehydrogenase (NADPH)
8	AASAD2	L aminoadipate semialdehyde dehydrogenase NADH	y000678	L-aminoadipate-semialdehyde dehydrogenase (NADPH)	R505	L-aminoadipate-semialdehyde dehydrogenase (NADPH)
9	TRE6PP	trehalose phosphatase	y001051	trehalose-phosphatase	R767	trehalose-phosphatase
10	ABTA	4 aminobutyrate transaminase	y000068	4-aminobutyrate transaminase	R50	4-aminobutyrate transaminase
11	TRE6PS	alpha alpha trehalose phosphate synthase UDP forming	y000195	alpha,alpha-trehalose-phosphate synthase (UDP-forming)	R143	alpha,alpha-trehalose-phosphate synthase (UDP-forming)
12	PC	pyruvate carboxylase	y000958	pyruvate carboxylase	R690	pyruvate carboxylase
13	ACGAM6PS	N acetylglucosamine 6 phosphate synthase	y000760	N-acetylglucosamine-6-phosphate synthase	R561	N-acetylglucosamine-6-phosphate synthase
14	ACGAMPM	phosphoacetylglucosamine mutase	y000882	phosphoacetylglucosamine mutase	R632	phosphoacetylglucosamine mutase
15	ACOAH	acetyl CoA hydrolase	y000111	acetyl-CoA hydrolase	R89	acetyl-CoA hydrolase
16	ACOATA	Acetyl CoA ACP transacylase	y000099	acetyl-CoA ACP transacylase	R78	acetyl-CoA ACP transacylase
17	ACOATAm	Acetyl CoA ACP transacylase	y000099	acetyl-CoA ACP transacylase	R78	acetyl-CoA ACP transacylase
18	ACONT	aconitase	y000117	aconitase	R95	aconitase
19	ARGSL	argininosuccinate lyase	y000207	argininosuccinate lyase	R152	argininosuccinate lyase
20	ACSm	acetyl CoA synthetase	y000112	acetyl-CoA synthetase	R90	acetyl-CoA synthetase
21	ACSp	acetyl CoA synthetase	y000112	acetyl-CoA synthetase	R90	acetyl-CoA synthetase
22	ACS	acetyl CoA synthetase	y000112	acetyl-CoA synthetase	R90	acetyl-CoA synthetase
23	ADCL	4 aminobenzoate synthase	y000067	4-aminobenzoate synthase	R49	4-aminobenzoate synthase
24	ADCS	4 amino 4 deoxychorismate synthase	y000066	4-amino-4-deoxychorismate synthase	R48	4-amino-4-deoxychorismate synthase
